"","strain","hit_score.methylmalonyl-CoA-carboxyltransferase13S","hit_id.methylmalonyl-CoA-carboxyltransferase13S","description.methylmalonyl-CoA-carboxyltransferase13S","hit_score.methylmalonyl-CoA-carboxyltransferase5S","hit_id.methylmalonyl-CoA-carboxyltransferase5S","description.methylmalonyl-CoA-carboxyltransferase5S","hit_score.methylmalonyl-CoA-decarboxylaseBeta","hit_id.methylmalonyl-CoA-decarboxylaseBeta","description.methylmalonyl-CoA-decarboxylaseBeta","hit_score.methylmalonyl-CoA-decarboxylaseGamma","hit_id.methylmalonyl-CoA-decarboxylaseGamma","description.methylmalonyl-CoA-decarboxylaseGamma","hit_score.methylmalonyl-CoA-carboxyltransferase12S","hit_id.methylmalonyl-CoA-carboxyltransferase12S","description.methylmalonyl-CoA-carboxyltransferase12S","hit_score.methylmalonyl-CoA-decarboxylaseAlpha","hit_id.methylmalonyl-CoA-decarboxylaseAlpha","description.methylmalonyl-CoA-decarboxylaseAlpha","hit_score.methylmalonyl-CoA-mutase","hit_id.methylmalonyl-CoA-mutase","description.methylmalonyl-CoA-mutase","hit_score.methylmalonyl-CoA-epimerase","hit_id.methylmalonyl-CoA-epimerase","description.methylmalonyl-CoA-epimerase","pathway","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.fucO","hit_id.fucO","description.fucO","hit_score.pduW","hit_id.pduW","description.pduW","hit_score.pduL","hit_id.pduL","description.pduL","hit_score.pduP","hit_id.pduP","description.pduP","hit_score.pduC","hit_id.pduC","description.pduC","hit_score.pduD","hit_id.pduD","description.pduD","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","description.Roseburia-inulivorans-pduCDE","hit_score.pduE","hit_id.pduE","description.pduE"
"114","Veillonella-sp-3-1-44-MAF-2",NA,NA,NA,NA,NA,NA,562.2,"1_1225/2-371","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",147.7,"1_1226/1-126","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,889.5,"1_1229/3-509","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",829.8,"1_1822/15-721","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-mutase",196.2,"1_1230/2-139","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Veillonella-sp-6-1-27-MAF-2",NA,NA,NA,NA,NA,NA,562.5,"1_1303/2-371","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",147.7,"1_1304/1-126","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,889.4,"1_1307/3-509","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",829.8,"1_1819/15-721","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-mutase",196.2,"1_1308/2-139","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Veillonella_atypica",NA,NA,NA,NA,NA,NA,558.9,"NZ_CABKSO010000001.1_662/2-371","Veillonella_atypica_methylmalonyl-CoA-decarboxylaseBeta",147.1,"NZ_CABKSO010000001.1_663/1-126","Veillonella_atypica_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,887.5,"NZ_CABKSO010000001.1_666/3-509","Veillonella_atypica_methylmalonyl-CoA-decarboxylaseAlpha",831.3,"NZ_CABKSO010000001.1_1317/17-721","Veillonella_atypica_methylmalonyl-CoA-mutase",194.5,"NZ_CABKSO010000001.1_667/2-139","Veillonella_atypica_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Veillonella_dispar",NA,NA,NA,NA,NA,NA,561.1,"NZ_LR134375.1_607/2-371","Veillonella_dispar_methylmalonyl-CoA-decarboxylaseBeta",147.4,"NZ_LR134375.1_606/1-126","Veillonella_dispar_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,888,"NZ_LR134375.1_603/3-509","Veillonella_dispar_methylmalonyl-CoA-decarboxylaseAlpha",829.7,"NZ_LR134375.1_1843/17-721","Veillonella_dispar_methylmalonyl-CoA-mutase",196.7,"NZ_LR134375.1_602/2-139","Veillonella_dispar_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Veillonella_parvula",NA,NA,NA,NA,NA,NA,562.5,"NZ_LT906445.1_1241/2-371","Veillonella_parvula_methylmalonyl-CoA-decarboxylaseBeta",147.7,"NZ_LT906445.1_1242/1-126","Veillonella_parvula_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,889,"NZ_LT906445.1_1245/3-509","Veillonella_parvula_methylmalonyl-CoA-decarboxylaseAlpha",829.8,"NZ_LT906445.1_1763/15-721","Veillonella_parvula_methylmalonyl-CoA-mutase",196.2,"NZ_LT906445.1_1246/2-139","Veillonella_parvula_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Veillonella_ratti",NA,NA,NA,NA,NA,NA,562.2,"NZ_RQUX01000011.1_10/2-371","Veillonella_ratti_methylmalonyl-CoA-decarboxylaseBeta",147.1,"NZ_RQUX01000011.1_9/1-130","Veillonella_ratti_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,887.5,"NZ_RQUX01000011.1_6/3-509","Veillonella_ratti_methylmalonyl-CoA-decarboxylaseAlpha",821.7,"NZ_RQUX01000030.1_10/18-723","Veillonella_ratti_methylmalonyl-CoA-mutase",197.8,"NZ_RQUX01000011.1_5/2-139","Veillonella_ratti_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Veillonella_rogosae",NA,NA,NA,NA,NA,NA,559.7,"NZ_PPCX01000012.1_70/2-371","Veillonella_rogosae_methylmalonyl-CoA-decarboxylaseBeta",148.3,"NZ_PPCX01000012.1_71/1-126","Veillonella_rogosae_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,887.4,"NZ_PPCX01000012.1_74/3-509","Veillonella_rogosae_methylmalonyl-CoA-decarboxylaseAlpha",830.8,"NZ_PPCX01000010.1_348/16-721","Veillonella_rogosae_methylmalonyl-CoA-mutase",195.7,"NZ_PPCX01000012.1_75/2-139","Veillonella_rogosae_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Anaerotignum_propionicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",398.7,"NZ_CP014223.1_812/1-257","Anaerotignum_propionicum_lcdC",867.7,"NZ_CP014223.1_1586/4-516","Anaerotignum_propionicum_pct",812.5,"NZ_CP014223.1_813/4-418","Anaerotignum_propionicum_lcdA",683.5,"NZ_CP014223.1_814/1-374","Anaerotignum_propionicum_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Clostridium_lactatifermentans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",394.4,"NZ_JADCKK010000055.1_2/1-257","Clostridium_lactatifermentans_lcdC",864.5,"NZ_JADCKK010000052.1_15/3-521","Clostridium_lactatifermentans_pct",545.3,"NZ_JADCKK010000055.1_1/4-277","Clostridium_lactatifermentans_lcdA",683.5,"NZ_JADCKK010000052.1_16/1-374","Clostridium_lactatifermentans_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Clostridium_propionicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",398.7,"NZ_CP014223.1_812/1-257","Clostridium_propionicum_lcdC",867.7,"NZ_CP014223.1_1586/4-516","Clostridium_propionicum_pct",812.5,"NZ_CP014223.1_813/4-418","Clostridium_propionicum_lcdA",683.5,"NZ_CP014223.1_814/1-374","Clostridium_propionicum_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Clostridium_tyrobutyricum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",380.7,"NZ_CP014170.1_650/1-257","Clostridium_tyrobutyricum_lcdC",853.9,"NZ_CP014170.1_2728/3-517","Clostridium_tyrobutyricum_pct",463.5,"NZ_CP014170.1_651/17-400","Clostridium_tyrobutyricum_lcdA",489.5,"NZ_CP014170.1_652/1-375","Clostridium_tyrobutyricum_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Coprococcus_catus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",404.1,"NZ_JAAXCM010000039.1_58/1-258","Coprococcus_catus_lcdC",791,"NZ_JAAXCM010000039.1_56/3-521","Coprococcus_catus_pct",809.7,"NZ_JAAXCM010000039.1_59/4-418","Coprococcus_catus_lcdA",674.3,"NZ_JAAXCM010000039.1_60/1-375","Coprococcus_catus_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Fusobacterium_necrophorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",398.5,"NZ_VZOZ01000005.1_150/1-258","Fusobacterium_necrophorum_lcdC",873,"NZ_VZOZ01000008.1_100/3-518","Fusobacterium_necrophorum_pct",888.4,"NZ_VZOZ01000005.1_151/4-421","Fusobacterium_necrophorum_lcdA",715.8,"NZ_VZOZ01000005.1_152/3-374","Fusobacterium_necrophorum_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Megasphaera-elsdenii-14-14-MAF-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",378.9,"1_1508/1-257","Megasphaera-elsdenii-14-14-MAF-2_lcdC",861.9,"1_1506/3-516","Megasphaera-elsdenii-14-14-MAF-2_pct",822.9,"1_1509/6-421","Megasphaera-elsdenii-14-14-MAF-2_lcdA",701.5,"1_1510/1-373","Megasphaera-elsdenii-14-14-MAF-2_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Megasphaera_elsdenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",385,"NZ_CP027569.1_1167/1-258","Megasphaera_elsdenii_lcdC",854.6,"NZ_CP027569.1_1165/4-516","Megasphaera_elsdenii_pct",828,"NZ_CP027569.1_1168/6-421","Megasphaera_elsdenii_lcdA",691.6,"NZ_CP027569.1_1169/1-372","Megasphaera_elsdenii_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Papillibacter_cinnamivorans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",344.1,"NZ_FWXW01000005.1_60/4-256","Papillibacter_cinnamivorans_lcdC",864.9,"NZ_FWXW01000002.1_255/2-514","Papillibacter_cinnamivorans_pct",485.9,"NZ_FWXW01000005.1_59/7-401","Papillibacter_cinnamivorans_lcdA",458.5,"NZ_FWXW01000005.1_58/5-374","Papillibacter_cinnamivorans_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Peptoniphilus_indolicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",391.7,"NZ_UGTH01000001.1_1297/1-260","Peptoniphilus_indolicus_lcdC",833.6,"NZ_UGTH01000001.1_1294/4-517","Peptoniphilus_indolicus_pct",842.3,"NZ_UGTH01000001.1_1298/1-419","Peptoniphilus_indolicus_lcdA",695.5,"NZ_UGTH01000001.1_1299/1-372","Peptoniphilus_indolicus_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Peptostreptococcus_anaerobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acr",345,"NZ_UGTB01000004.1_265/5-259","Peptostreptococcus_anaerobius_lcdC",681.5,"NZ_UGTB01000004.1_46/2-514","Peptostreptococcus_anaerobius_pct",426.7,"NZ_UGTB01000004.1_266/5-404","Peptostreptococcus_anaerobius_lcdA",476.5,"NZ_UGTB01000004.1_1404/3-372","Peptostreptococcus_anaerobius_lcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Blautia-wexlerae-DSM-19850-MAF-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.3,"1_157/1-380","Blautia-wexlerae-DSM-19850-MAF-2_fucO",457.9,"1_1435/28-423","Blautia-wexlerae-DSM-19850-MAF-2_pduW",207,"1_1052/28-210","Blautia-wexlerae-DSM-19850-MAF-2_pduL",536.3,"1_1046/5-462","Blautia-wexlerae-DSM-19850-MAF-2_pduP",NA,NA,NA,NA,NA,NA,1391.7,"1_1043/1-839","Blautia-wexlerae-DSM-19850-MAF-2_Roseburia-inulivorans-pduCDE",NA,NA,NA
"133","Blautia_luti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600.3,"NZ_JADPGV010000041.1_15/1-380","Blautia_luti_fucO",459.4,"NZ_JADPGV010000003.1_87/1-396","Blautia_luti_pduW",208.5,"NZ_JADPGV010000001.1_173/8-210","Blautia_luti_pduL",522,"NZ_JADPGV010000001.1_167/6-463","Blautia_luti_pduP",NA,NA,NA,NA,NA,NA,1388.7,"NZ_JADPGV010000001.1_164/1-839","Blautia_luti_Roseburia-inulivorans-pduCDE",NA,NA,NA
"134","Citrobacter_amalonaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.7,"NZ_CP014070.2_726/5-380","Citrobacter_amalonaticus_fucO",820.4,"NZ_CP014070.2_2346/1-404","Citrobacter_amalonaticus_pduW",419.2,"NZ_CP014070.2_2356/1-210","Citrobacter_amalonaticus_pduL",950.1,"NZ_CP014070.2_2352/1-461","Citrobacter_amalonaticus_pduP",1301.1,"NZ_CP014070.2_2363/1-553","Citrobacter_amalonaticus_pduC",476.1,"NZ_CP014070.2_2362/1-222","Citrobacter_amalonaticus_pduD",NA,NA,NA,354.7,"NZ_CP014070.2_2361/1-173","Citrobacter_amalonaticus_pduE"
"135","Citrobacter_braakii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797.7,"NZ_CP045771.1_1767/1-382","Citrobacter_braakii_fucO",831.9,"NZ_CP045771.1_2554/1-404","Citrobacter_braakii_pduW",424.5,"NZ_CP045771.1_2564/1-210","Citrobacter_braakii_pduL",958,"NZ_CP045771.1_2560/1-461","Citrobacter_braakii_pduP",1296.9,"NZ_CP045771.1_2571/1-553","Citrobacter_braakii_pduC",481.3,"NZ_CP045771.1_2570/1-224","Citrobacter_braakii_pduD",NA,NA,NA,348.3,"NZ_CP045771.1_2569/1-172","Citrobacter_braakii_pduE"
"136","Citrobacter_farmeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705.4,"NZ_RHWV01000001.1_279/1-382","Citrobacter_farmeri_fucO",819.3,"NZ_RHWV01000001.1_1363/1-404","Citrobacter_farmeri_pduW",417.2,"NZ_RHWV01000001.1_1353/1-210","Citrobacter_farmeri_pduL",948.4,"NZ_RHWV01000001.1_1357/1-461","Citrobacter_farmeri_pduP",1301.1,"NZ_RHWV01000001.1_1346/1-553","Citrobacter_farmeri_pduC",475.3,"NZ_RHWV01000001.1_1347/1-222","Citrobacter_farmeri_pduD",NA,NA,NA,353.4,"NZ_RHWV01000001.1_1348/1-173","Citrobacter_farmeri_pduE"
"137","Citrobacter_freundii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797.8,"NZ_CP033744.1_1614/1-382","Citrobacter_freundii_fucO",832.3,"NZ_CP033744.1_794/1-404","Citrobacter_freundii_pduW",427.1,"NZ_CP033744.1_784/1-209","Citrobacter_freundii_pduL",958.7,"NZ_CP033744.1_788/1-461","Citrobacter_freundii_pduP",1298.7,"NZ_CP033744.1_777/1-553","Citrobacter_freundii_pduC",481,"NZ_CP033744.1_778/1-224","Citrobacter_freundii_pduD",NA,NA,NA,355.3,"NZ_CP033744.1_779/1-172","Citrobacter_freundii_pduE"
"138","Citrobacter_gillenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793,"NZ_QVEK01000008.1_19/1-382","Citrobacter_gillenii_fucO",833.3,"NZ_QVEK01000009.1_118/1-404","Citrobacter_gillenii_pduW",423.8,"NZ_QVEK01000009.1_128/1-209","Citrobacter_gillenii_pduL",953.5,"NZ_QVEK01000009.1_124/1-461","Citrobacter_gillenii_pduP",1295.2,"NZ_QVEK01000009.1_135/1-553","Citrobacter_gillenii_pduC",478.5,"NZ_QVEK01000009.1_134/1-224","Citrobacter_gillenii_pduD",NA,NA,NA,352.6,"NZ_QVEK01000009.1_133/1-172","Citrobacter_gillenii_pduE"
"139","Citrobacter_koseri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796.4,"NC_009792.1_3464/1-382","Citrobacter_koseri_fucO",826.6,"NC_009792.1_649/1-403","Citrobacter_koseri_pduW",420.4,"NC_009792.1_659/1-210","Citrobacter_koseri_pduL",968.2,"NC_009792.1_655/1-461","Citrobacter_koseri_pduP",1298.9,"NC_009792.1_666/1-553","Citrobacter_koseri_pduC",483.9,"NC_009792.1_665/1-224","Citrobacter_koseri_pduD",NA,NA,NA,352.1,"NC_009792.1_664/1-172","Citrobacter_koseri_pduE"
"140","Citrobacter_murliniae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794.4,"NZ_QFVP01000001.1_379/1-382","Citrobacter_murliniae_fucO",824.9,"NZ_QFVP01000006.1_127/1-404","Citrobacter_murliniae_pduW",424.3,"NZ_QFVP01000006.1_137/2-210","Citrobacter_murliniae_pduL",953.9,"NZ_QFVP01000006.1_133/1-461","Citrobacter_murliniae_pduP",1295.7,"NZ_QFVP01000006.1_144/1-553","Citrobacter_murliniae_pduC",473.6,"NZ_QFVP01000006.1_143/1-223","Citrobacter_murliniae_pduD",NA,NA,NA,352.8,"NZ_QFVP01000006.1_142/1-172","Citrobacter_murliniae_pduE"
"141","Citrobacter_pasteurii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792.1,"NZ_CP077262.1_1228/1-382","Citrobacter_pasteurii_fucO",825.2,"NZ_CP077262.1_3180/1-404","Citrobacter_pasteurii_pduW",425.9,"NZ_CP077262.1_3170/1-209","Citrobacter_pasteurii_pduL",959.3,"NZ_CP077262.1_3174/1-461","Citrobacter_pasteurii_pduP",1298.2,"NZ_CP077262.1_3163/1-553","Citrobacter_pasteurii_pduC",479.4,"NZ_CP077262.1_3164/1-224","Citrobacter_pasteurii_pduD",NA,NA,NA,349.5,"NZ_CP077262.1_3165/1-172","Citrobacter_pasteurii_pduE"
"142","Citrobacter_sedlakii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377.4,"NZ_CP071070.1_4210/5-380","Citrobacter_sedlakii_fucO",825.3,"NZ_CP071070.1_1706/1-404","Citrobacter_sedlakii_pduW",418.7,"NZ_CP071070.1_1716/1-210","Citrobacter_sedlakii_pduL",953.3,"NZ_CP071070.1_1712/1-461","Citrobacter_sedlakii_pduP",1302.6,"NZ_CP071070.1_1723/1-553","Citrobacter_sedlakii_pduC",469.5,"NZ_CP071070.1_1722/1-222","Citrobacter_sedlakii_pduD",NA,NA,NA,354.7,"NZ_CP071070.1_1721/1-173","Citrobacter_sedlakii_pduE"
"143","Citrobacter_werkmanii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794,"NZ_CP044101.1_3770/1-382","Citrobacter_werkmanii_fucO",833.1,"NZ_CP044101.1_2954/1-404","Citrobacter_werkmanii_pduW",425.2,"NZ_CP044101.1_2944/1-209","Citrobacter_werkmanii_pduL",955.8,"NZ_CP044101.1_2948/1-461","Citrobacter_werkmanii_pduP",1297.9,"NZ_CP044101.1_2937/1-553","Citrobacter_werkmanii_pduC",478.8,"NZ_CP044101.1_2938/1-224","Citrobacter_werkmanii_pduD",NA,NA,NA,352.8,"NZ_CP044101.1_2939/1-172","Citrobacter_werkmanii_pduE"
"144","Citrobacter_youngae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794,"NZ_LR134485.1_889/1-382","Citrobacter_youngae_fucO",821.8,"NZ_LR134485.1_2876/1-404","Citrobacter_youngae_pduW",428.4,"NZ_LR134485.1_2866/1-209","Citrobacter_youngae_pduL",956.8,"NZ_LR134485.1_2870/1-461","Citrobacter_youngae_pduP",1295.2,"NZ_LR134485.1_2859/1-553","Citrobacter_youngae_pduC",481.3,"NZ_LR134485.1_2860/1-224","Citrobacter_youngae_pduD",NA,NA,NA,355.3,"NZ_LR134485.1_2861/1-172","Citrobacter_youngae_pduE"
"145","Clostridium_disporicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632.9,"NZ_CYZX01000013.1_60/2-381","Clostridium_disporicum_fucO",529,"NZ_CYZX01000002.1_153/2-396","Clostridium_disporicum_pduW",197.8,"NZ_CYZX01000031.1_7/1-205","Clostridium_disporicum_pduL",539.6,"NZ_CYZX01000031.1_1/49-490","Clostridium_disporicum_pduP",884.1,"NZ_CYZX01000012.1_93/1-551","Clostridium_disporicum_pduC",NA,NA,NA,1337.8,"NZ_CYZX01000027.1_5/7-838","Clostridium_disporicum_Roseburia-inulivorans-pduCDE",NA,NA,NA
"146","Clostridium_fallax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.7,"NZ_FQVM01000024.1_12/11-384","Clostridium_fallax_fucO",519.4,"NZ_FQVM01000006.1_22/2-395","Clostridium_fallax_pduW",188.4,"NZ_FQVM01000017.1_17/9-205","Clostridium_fallax_pduL",525.2,"NZ_FQVM01000017.1_23/6-475","Clostridium_fallax_pduP",1014.9,"NZ_FQVM01000024.1_5/1-554","Clostridium_fallax_pduC",279.8,"NZ_FQVM01000024.1_6/13-189","Clostridium_fallax_pduD",NA,NA,NA,193.6,"NZ_FQVM01000024.1_7/7-138","Clostridium_fallax_pduE"
